,Date,CoVaR
0,200803,-1.457466914728569e-09
1,200804,1.2518476600241126e-09
2,200805,-0.04175710206959656
3,200806,-0.007762307442369829
4,200807,-0.017620522722667616
5,200808,-0.005040429906946056
6,200809,-0.01087151199553414
7,200810,-0.0151125304621653
8,200811,-0.042593283781503365
9,200812,-0.12235221894475208
10,200813,-0.10616443067691769
11,200814,-0.01035212270822089
12,200815,-0.09921927139316926
13,200816,-0.10436668375910661
14,200817,-0.42339781796733084
15,200818,-0.040861116361634864
16,200819,-0.07741070201696655
17,200820,-0.017583562586927188
18,200821,-0.021848096078164975
19,200822,-0.007734340191063344
20,200823,-0.07678186448551481
21,200824,-0.06515113087752543
22,200825,-0.0015603492697132554
23,200826,-0.13965944056469268
24,200827,-0.1210793808926428
25,200828,-0.07826542254610985
26,200829,-0.0013453385907143034
27,200830,-0.17137997118717269
28,200831,-0.10856896537363649
29,200832,-0.05407145174540282
30,200833,-0.08905336293269392
31,200834,-0.039797424531000776
32,200835,-0.06351488352982478
33,200836,-0.08466625850924997
34,200837,-0.017363979710743004
35,200838,-0.18684402627428867
36,200840,-0.07887672340186783
37,200841,-6.9935117598816265e-09
38,200842,-0.07970780524223646
39,200843,-0.09043930492327817
40,200844,-0.06741244314206041
41,200845,-0.12646588843193504
42,200846,-0.17006340587411287
43,200847,-0.12004439606330125
44,200848,-0.07539574820507629
45,200849,-0.09754796452988662
46,200850,-0.08763173294207377
47,200851,-0.06189164609156511
48,200901,-0.06376446884469847
49,200902,-0.09384785330736714
50,200903,-0.061666953285895304
51,200905,-0.04503102441192605
52,200906,-0.09302908143740522
53,200907,-0.06518277614812998
54,200908,-0.04759346844353931
55,200909,-0.03013165469365312
56,200910,-0.11416453015809704
57,200911,-0.05071078898145987
58,200912,-0.1151821699365106
59,200913,-0.08944563967816933
60,200914,-0.08014448633246699
61,200915,-0.06627002818160037
62,200916,-0.04337272777225477
63,200917,-0.0567511269849871
64,200918,-0.0776807435053373
65,200919,-0.08923030357930711
66,200920,-0.060299274520906554
67,200921,-0.025706458289172764
68,200922,-0.05462352973718684
69,200923,-0.08671316895405355
70,200924,-0.03916193009672674
71,200925,-0.12538507543748403
72,200926,-0.05241867046905563
73,200927,-0.08228358448096136
74,200928,-0.0427557459948163
75,200929,-0.015777096092018345
76,200930,-0.022634501875537425
77,200931,-0.04836568350730421
78,200932,-0.0810831509865742
79,200933,-0.07104175919904655
80,200934,-0.05818109792978395
81,200935,-0.076189684315461
82,200936,-0.08525831278879721
83,200937,-0.08747787281724853
84,200938,-0.08006975232193227
85,200939,-0.06030758567015353
86,200940,-0.08396212661257751
87,200941,-0.06914367156980263
88,200942,-0.07156806344561158
89,200943,-0.0805361383736842
90,200944,-0.06999753649912098
91,200945,-0.08099165798564557
92,200946,-0.07053163359964588
93,200947,-0.07775748321530505
94,200948,-0.08577194168190108
95,200949,-0.06647377447027494
96,200950,-0.06353557137532867
97,200951,-0.051445607475544455
98,201001,-0.0661235079903951
99,201002,-0.06257970204441995
100,201003,-0.0628291413229193
101,201004,-0.06923118341562805
102,201005,-0.05711210190866411
103,201006,-0.07407089700355164
104,201008,-0.06179344191206213
105,201009,-0.0680287952954855
106,201010,-0.059478447252064595
107,201011,-0.05896426262596139
108,201012,-0.06661985673707914
109,201013,-0.05429403291071601
110,201014,-0.07618110429302262
111,201015,-0.05636170480219223
112,201016,-0.07137266291360853
113,201017,-0.06771937498220225
114,201018,-0.07472454694828116
115,201019,-0.06640468014617212
116,201020,-0.0784131794332936
117,201021,-0.07799013993552963
118,201022,-0.07901244498897854
119,201023,-0.0721330706111249
120,201024,-0.08619512553538468
121,201025,-0.08210671091546667
122,201026,-0.07635316595756754
123,201027,-0.05746151013831443
124,201028,-0.04759991172348408
125,201029,-0.054752775604024743
126,201030,-0.06525703104652399
127,201031,-0.07202004053807275
128,201032,-0.051339692371843056
129,201033,-0.07465718310881737
130,201034,-0.041505443927600194
131,201035,-0.056987395954437754
132,201036,-0.04350428317400136
133,201037,-0.029559888265211432
134,201038,-0.052230248313534164
135,201039,-0.047030049993603947
136,201040,-0.052068846924301325
137,201041,-0.03639740152732724
138,201042,-0.03435582592393161
139,201043,-0.004482925247243191
140,201044,-0.051966040441004516
141,201045,-0.03291124895233733
142,201046,-0.05496423939913903
143,201047,-0.08168766653453315
144,201048,-0.025201120855263347
145,201049,-0.0669892971074172
146,201050,-0.049046974089106965
147,201051,-0.05390285900664667
148,201101,-0.04705283255514869
149,201102,-0.06667084694585249
150,201103,-0.04958511020148808
151,201104,-0.04705244939491309
152,201105,-0.05084144494443724
153,201106,-0.05907535311104064
154,201107,-0.047205136748278274
155,201108,-0.06265205562387234
156,201109,-0.08023387194766189
157,201110,-0.06912042851737525
158,201111,-0.07134603211076351
159,201112,-0.06490872754340543
160,201113,-0.05449817427034803
161,201114,-0.04155230013281163
162,201115,-0.044366629022719824
163,201116,-0.04797474058161791
164,201117,-0.038774537961735106
165,201118,-0.052085611766418204
166,201119,-0.05356027236261414
167,201120,-0.04043075792286499
168,201121,-0.043361659026262045
169,201122,-0.06521227999041447
170,201123,-0.051213455009303764
171,201124,-0.03400752601763439
172,201125,-0.027250304187096872
173,201126,-0.07749811843200806
174,201127,-0.047421159437864784
175,201128,-0.048528653355315
176,201129,-0.034816450693507965
177,201130,-0.006037777543128661
178,201131,-0.04338499892596435
179,201132,-0.03751389628005055
180,201133,-0.06955931084109093
181,201134,-0.04774885618749834
182,201135,-0.038105396063406516
183,201136,-0.027273189982971326
184,201137,-0.04662710731290127
185,201138,-0.03538130566354306
186,201139,-0.06533612475629517
187,201141,-0.06142322173913558
188,201142,-0.0541719486292735
189,201143,-0.06326759736155892
190,201144,-0.04719616400513668
191,201145,-0.0449593178923225
192,201146,-0.01677469109868977
193,201147,-0.03849467702355187
194,201148,-0.037760607296407706
195,201149,-0.06064951080771622
196,201150,-0.03275506845489364
197,201151,-0.053469120546604
198,201152,-0.04740322856569159
199,201201,-0.04139008636346181
200,201202,-0.0402286927058108
201,201203,-0.06627794555661805
202,201205,-0.05160166149241755
203,201206,-0.04308405981745889
204,201207,-0.04033369123718762
205,201208,-0.04838515297295439
206,201209,-0.04590495875090492
207,201210,-0.045745806761022745
208,201211,-0.04238531459893142
209,201212,-0.05309688784313497
210,201213,-0.04119764118199402
211,201214,-0.04255410240844118
212,201215,-0.037641474761146675
213,201216,-0.048298449563582965
214,201217,-0.06055053482397688
215,201218,-0.0521504329587686
216,201219,-0.04004031638038501
217,201220,-0.026011050892799804
218,201221,-0.03470943187346929
219,201222,-0.028364937593293754
220,201223,-0.039955791124263555
221,201224,-0.04819341577560506
222,201225,-0.028938541167744303
223,201226,-0.030331698695093456
224,201227,-0.05829617023566197
225,201228,-0.040902454517336845
226,201229,-0.0487487237204266
227,201230,-0.04381444969469392
228,201231,-0.05428027431775765
229,201232,-0.048395189049429535
230,201233,-0.042723778314990406
231,201234,-0.051203501270730575
232,201235,-0.04377804481012532
233,201236,-0.03789203700988001
234,201237,-0.05748262693479472
235,201238,-0.03819187751603542
236,201239,-0.061053677564681635
237,201241,-0.0613426830725803
238,201242,-0.04944200589102854
239,201243,-0.05998954625142351
240,201244,-0.04772068448628439
241,201245,-0.043674528630011325
242,201246,-0.04555464774453719
243,201247,-0.05102535905651114
244,201248,-0.04259042214974591
245,201249,-0.04685828989107114
246,201250,-0.06353060826320503
247,201251,-0.055953156606093006
248,201252,-0.04267281759864453
249,201300,-0.051319387050211884
250,201301,-0.04410356731687657
251,201302,-0.03941619400742845
252,201303,-0.04524582568328094
253,201304,-0.05231559819189339
254,201305,-0.06132313094269444
255,201307,-0.04251142775418338
256,201308,-0.046237952260140595
257,201309,-0.05564036385889793
258,201310,-0.05265906455873363
259,201311,-0.03844877828925452
260,201312,-0.036612721004653424
261,201313,-0.04232582507341381
262,201314,-0.03694182445792247
263,201315,-0.03682534043345257
264,201316,-0.04388069076376609
265,201317,-0.050548755251657
266,201318,-0.03469962970359256
267,201319,-0.04034987624888127
268,201320,-0.04430647280314835
269,201321,-0.04005305370496293
270,201322,-0.039698975492317455
271,201323,-0.06597166207698055
272,201324,-0.04111140421333396
273,201325,-0.1050596403417267
274,201326,-0.041699966124371
275,201327,-0.015331782967921185
276,201328,-0.05241244230477903
277,201329,-0.03415737579504572
278,201330,-0.049508163206790634
279,201331,-0.02983724714736665
280,201332,-0.02558352298738267
281,201333,-0.05078681219425953
282,201334,-0.0388385765884716
283,201335,-0.043693978326719354
284,201336,-0.05627692269562579
285,201337,-0.04021577585376188
286,201338,-0.05628262492834536
287,201339,-0.03920531319429285
288,201340,-0.040663182034306855
289,201341,-0.045342951365215683
290,201342,-0.037400983555697064
291,201343,-0.043057745987796485
292,201344,-0.06863897917256331
293,201345,-0.038767154360213184
294,201346,-0.041626897445840354
295,201347,-0.044301749430976436
296,201348,-0.0474549619555647
297,201349,-0.0474904574874204
298,201350,-0.045974734178403746
299,201351,-0.04128796915241722
300,201400,-0.0511541437357891
301,201401,-0.023077123475401407
302,201402,-0.03784023271728558
303,201403,-0.023381903099646516
304,201404,-0.04633607868491638
305,201405,-0.019842155002189336
306,201406,-0.033259115532349205
307,201407,-0.028617270653486626
308,201408,-0.02683461864862556
309,201409,-0.03723582043078207
310,201410,-0.021383487253988694
311,201411,-0.021471961544745337
312,201412,-0.024571835823839306
313,201413,-0.012317249865865621
314,201414,-0.036364590215852165
315,201415,-0.04569464364448524
316,201416,-0.04279945803450736
317,201417,-0.03287522020900809
318,201418,-0.028869369070397822
319,201419,-0.03824173311178032
320,201420,-0.027883841254310548
321,201421,-0.021690405175214287
322,201422,-0.029203809701798915
323,201423,-0.02097866428141917
324,201424,-0.026643616220226
325,201425,-0.03767491733998369
326,201426,-0.026502010492687387
327,201427,-0.013579927506958528
328,201428,-0.028901538551125965
329,201429,-0.023875200435417496
330,201430,-0.048295568862466734
331,201431,-0.043621767332052926
332,201432,-0.03127346409382358
333,201433,-0.035238797999371255
334,201434,-0.03033794194871888
335,201435,-0.035500260327759776
336,201436,-0.03517225419020609
337,201437,-0.03870424937899156
338,201438,-0.043951785612149206
339,201439,-0.03597610361006934
340,201440,-0.026841649426850942
341,201441,-0.024807292599836564
342,201442,-0.03566938749482886
343,201443,-0.033745016490040136
344,201444,-0.04917854387216909
345,201445,-0.047205206711618174
346,201446,-0.03406285152374875
347,201447,-0.03277366199804371
348,201448,-0.049116516552219144
349,201449,-0.04723488692223187
350,201450,-0.038378900794498606
351,201451,-0.05967509058258801
352,201501,-0.0519918014510797
353,201502,-0.04116572769380321
354,201503,-0.05414340299876146
355,201504,-0.05039285402042143
356,201505,-0.034069003569721944
357,201506,-0.0353599865609779
358,201507,-0.05078332427597744
359,201508,-0.026446570927994035
360,201509,-0.03392847210730358
361,201510,-0.02765090831671347
362,201511,-0.04355307971920971
363,201512,-0.03621362509801714
364,201513,-0.0249483238624438
365,201514,-0.02906964100476179
366,201515,-0.034708877768108576
367,201516,-0.03602862975676643
368,201517,-0.03360522339141559
