,Date,CoVaR
0,200803,-4.181743891138044e-09
1,200804,8.693127902474101e-10
2,200805,-0.011284260218278176
3,200806,-0.08459705665904318
4,200807,-5.813257599935969e-09
5,200808,-0.07665634092581193
6,200809,-0.0044871054957828106
7,200810,-0.011278106170344797
8,200811,-0.01613922231266095
9,200812,-0.17933355362851466
10,200813,-0.11496969643300799
11,200814,0.016459211209423164
12,200815,-0.02208775636427232
13,200816,-0.04775692100859574
14,200817,-0.180327234507394
15,200818,-0.03849190234401101
16,200819,-0.04051320554860153
17,200820,-0.016398642900775067
18,200821,-0.019406787008947754
19,200822,-0.0034537278692141466
20,200823,-0.06996741574785174
21,200824,-0.09188309146990377
22,200825,-0.022527249027755884
23,200826,-0.09787842505669525
24,200827,-0.10509045063720629
25,200828,-0.07634762043765894
26,200829,-0.0015546356017101732
27,200830,-0.14764852056647132
28,200831,-0.11108293064850112
29,200832,-0.03811361190904636
30,200833,-0.04876608670219939
31,200834,-0.033920185970194125
32,200835,-0.046762148906897755
33,200836,-0.020811502781201148
34,200837,-0.024505470164583067
35,200838,-0.11114926584188056
36,200840,-0.08977788790736008
37,200841,-0.042775205964820394
38,200842,-0.12470380277173669
39,200843,-0.10039656463257202
40,200844,-0.07673113829283733
41,200845,-0.04939792435788589
42,200846,-0.10444305989018725
43,200847,-0.12178480982814902
44,200848,-0.04953415848230865
45,200849,-0.043872755117815306
46,200850,-0.0836123416739445
47,200851,-0.029077577717999258
48,200901,-0.0764839261298551
49,200902,-0.055672512901916237
50,200903,-0.08693461785151102
51,200905,-0.04471279555480392
52,200906,-0.11128513362362434
53,200907,-0.04425704583206575
54,200908,-0.03763391625728688
55,200909,-0.06834843418919646
56,200910,-0.03468635816159909
57,200911,-0.03792453529175483
58,200912,-0.06330612043490291
59,200913,-0.03988571540039969
60,200914,-0.04232837431383116
61,200915,-0.03487938096218488
62,200916,-0.04157401504762534
63,200917,-0.05145954943467123
64,200918,-0.0518821756985604
65,200919,-0.054243754336174684
66,200920,-0.03312379036251003
67,200921,-0.024692752962535466
68,200922,-0.041776395338638965
69,200923,-0.03751832854061035
70,200924,-0.04331885245104993
71,200925,-0.04235003852396248
72,200926,-0.03537111032776502
73,200927,-0.0368195281673176
74,200928,-0.0547362185340854
75,200929,-0.04366574545523783
76,200930,-0.03560628056937744
77,200931,-0.07531034134177468
78,200932,-0.06078345691320824
79,200933,-0.04101660340125167
80,200934,-0.08808907078047415
81,200935,-0.04583967690437619
82,200936,-0.04649466223651029
83,200937,-0.03596678207054512
84,200938,-0.05497757481210095
85,200939,-0.036455695018557825
86,200940,-0.05307389715269967
87,200941,-0.030670371388852837
88,200942,-0.028182826680317293
89,200943,-0.03278506560320176
90,200944,-0.06533339316755829
91,200945,-0.05914318626799769
92,200946,-0.03628996916245171
93,200947,-0.057150976544515564
94,200948,-0.07673701589715809
95,200949,-0.06168104938668603
96,200950,-0.05279228423301392
97,200951,-0.06708542826867879
98,201001,-0.057154888334664505
99,201002,-0.05137216583299009
100,201003,-0.051407973083531754
101,201004,-0.05613901757282991
102,201005,-0.04676547781949322
103,201006,-0.058447177063532536
104,201008,-0.0485842573282806
