,Date,CoVaR
0,200803,-4.7523625068358775e-09
1,200804,2.7314893308390963e-09
2,200805,-0.006993824772560339
3,200806,-0.09810589691477507
4,200807,-0.038385286350931705
5,200808,-0.10607894292191616
6,200809,-0.05220781630869277
7,200810,-0.057722588183155996
8,200811,-3.2791082988995803e-09
9,200812,-0.0889077213619779
10,200813,-0.05153904517069733
11,200814,-0.0647509666527193
12,200815,-0.07184173305391134
13,200816,-0.09216424298906652
14,200817,-0.09299765652522939
15,200818,-0.07810869967991754
16,200819,-0.0321896480541744
17,200820,-0.08177344574196611
18,200821,-0.03211786301314708
19,200822,-0.05043905464185806
20,200823,-0.07186880948395351
21,200824,-0.019595122529363053
22,200825,-0.02976122849004627
23,200826,-0.0782953721307244
24,200827,-0.1158086815429758
25,200828,-0.08473721049455397
26,200829,-0.018243963366174315
27,200830,-0.15738060988726535
28,200831,-0.06446734250002484
29,200832,-0.011847692168146724
30,200833,-0.049890002790233506
31,200834,-0.06004947196196786
32,200835,-0.06982114393651426
33,200836,-0.026164010883658974
34,200837,-0.06866660541806134
35,200838,-0.16432841906912038
36,200840,-0.10945783614690409
37,200841,-0.07370124758639396
38,200842,-0.029257982307626273
39,200843,-0.08477276366022966
40,200844,-0.08418261441232938
41,200845,-0.09958605557367652
42,200846,-0.1132659086168291
43,200847,-0.07512919575655483
44,200848,-0.005831841228023707
45,200849,-0.014110832658060127
46,200850,-0.04685988010554044
47,200851,-0.04015475043847761
48,200901,-0.051003451387011504
49,200902,-0.04323504933326215
50,200903,-0.0058451844721243915
51,200905,-0.0199220725839389
52,200906,-0.03762162491297117
53,200907,-0.04379870563027695
54,200908,-0.04743301968797919
55,200909,-0.06815705531108385
56,200910,-0.06509000543998687
57,200911,-0.0567205865123126
58,200912,-0.09504758497666092
59,200913,-0.05427340168610926
60,200914,-0.07234745333678232
61,200915,-0.055195293893080706
62,200916,-0.039806509063246766
63,200917,-0.038683299834727215
64,200918,-0.0419572815976031
65,200919,-0.06028662750465277
66,200920,-0.031518090544565704
67,200921,-0.01912348878371314
68,200922,-0.03372262477911642
69,200923,-0.018020550194293015
70,200924,-0.02525139238238679
71,200925,-0.030636209279768154
72,200926,-0.023823865803254695
73,200927,-0.030500641034723133
74,200928,-0.051848417006361024
75,200929,-0.04481037318126882
76,200930,-0.029830014146002976
77,200931,-0.05736868666122884
78,200932,-0.06642178558783718
79,200933,-0.021698679361218574
80,200934,-0.08428117501913306
81,200935,-0.053705206159511014
82,200936,-0.04343790231042182
83,200937,-0.049263572909597736
84,200938,-0.06066840679163085
85,200939,-0.03408487470729973
86,200940,-0.056757293848640034
87,200941,-0.03555134214981996
88,200942,-0.016183021394562326
89,200943,-0.04207101804393085
90,200944,-0.0714110582838601
91,200945,-0.06255792215352957
92,200946,-0.05596830090796517
93,200947,-0.05693377570831681
94,200948,-0.07960719468104661
95,200949,-0.06355586247219877
96,200950,-0.04960762689888617
97,200951,-0.09660957188772241
98,201001,-0.06381993555664071
99,201002,-0.059874801189179566
100,201003,-0.0647924727535039
101,201004,-0.06680988206082641
102,201005,-0.05812862600483459
103,201006,-0.061846715854795155
104,201008,-0.060071031529201166
105,201009,-0.05463693136160366
106,201010,-0.05598550719645134
107,201011,-0.06981128191937946
108,201012,-0.04485444403828776
109,201013,-0.0677011581679437
110,201014,-0.06561674795943036
111,201015,-0.07354446117323961
112,201016,-0.08103552113228585
113,201017,-0.08907081255179274
114,201018,-0.07853521283778021
115,201019,-0.07724268564552987
116,201020,-0.07044186914475303
117,201021,-0.08084477063630016
118,201022,-0.06307176181681036
119,201023,-0.06319254777301171
120,201024,-0.07738205180687677
121,201025,-0.05611503269257053
122,201026,-0.062869810464441
123,201027,-0.06879455149874532
124,201028,-0.04654157934700237
125,201029,-0.035452376031815114
126,201030,-0.0635183325459064
127,201031,-0.04703605160398101
128,201032,-0.05588900496407118
129,201033,-0.06793190540401522
130,201034,-0.06524913480475839
131,201035,-0.06213548801056553
132,201036,-0.0589782872409737
133,201037,-0.05088953997411285
134,201038,-0.04986979119166995
135,201039,-0.05631694879499314
136,201040,-0.04795138143164051
137,201041,-0.049243097583660314
138,201042,-0.04460699392915095
139,201043,-0.004615891852843496
140,201044,-0.03531375666502786
141,201045,-0.03414905028811298
142,201046,-0.057842342227094
143,201047,-0.0752481482116317
144,201048,-0.08037953566413718
145,201049,-0.05593556495058228
146,201050,-0.053349614074883485
147,201051,-0.04870737769452702
148,201101,-0.019497597825978236
149,201102,-0.04265656929299319
150,201103,-0.016328766788366974
151,201104,-0.03812259039752918
152,201105,-0.047849444336517444
153,201106,-0.04307611949338356
154,201107,-0.010038957817675791
