,Date,CoVaR
0,200803,-5.663064768784632e-10
1,200804,-4.664265358737229e-10
2,200805,0.0012743185335214553
3,200806,-0.021101869107838706
4,200807,-0.04310132290673484
5,200808,-0.042138933565685724
6,200809,-0.0182880839641933
7,200810,-0.03374411610000043
8,200811,-0.06545796396049433
9,200812,-0.09464945261660701
10,200813,-0.10640637131768615
11,200814,-0.05944853620034893
12,200815,-0.07988268218364794
13,200816,-0.07892586023566509
14,200817,2.3108066942313404e-09
15,200818,-0.013484650984157036
16,200819,-0.04805521737725403
17,200820,-0.06146602635324182
18,200821,-0.0654767643110028
19,200822,-0.048060930124015175
20,200823,-0.06815693475592098
21,200824,-6.562175289479935e-09
22,200825,0.015888062285261368
23,200826,-0.030794281212423287
24,200827,-0.10862454888366853
25,200828,-0.0896797612726924
26,200829,-0.03859527656668569
27,200830,-0.06349586518030337
28,200831,-0.029649087194962318
29,200832,-0.04049499745142403
30,200833,-0.09954900582545834
31,200834,-0.07067746767639779
32,200835,-0.04476925886857021
33,200836,-0.10838796174538348
34,200837,-0.025727032611143803
35,200838,-0.09474977604906017
36,200840,-0.029295846799445323
37,200841,-0.09918690812314772
38,200842,-0.1329118064717103
39,200843,-0.10970486771502928
40,200844,-0.09218984636900812
41,200845,-0.009532007604312371
42,200846,-0.010070623239993306
43,200847,-0.12274026745383065
44,200848,-0.03100577603190826
45,200849,-3.5646959732098135e-09
46,200850,-0.08545008771731182
47,200851,-0.030105366051365507
48,200901,-0.0890929516921317
49,200902,-0.08051234022757131
50,200903,-0.05796922879900801
51,200905,-0.043226732583896775
52,200906,-0.039711675607506866
53,200907,-0.046869346574754875
54,200908,-0.04236368217769293
55,200909,-0.06940385212412277
56,200910,-0.05573506286275939
57,200911,-0.06065281020911181
58,200912,-0.04925839183851847
59,200913,-0.04948468039327135
60,200914,-0.05917123995105909
61,200915,-0.05064332953078932
62,200916,-0.05053908776391321
63,200917,-0.05984376172902081
64,200918,-0.07069931566753498
65,200919,-0.06613525141912396
66,200920,-0.055976543952439464
67,200921,-0.06741937664005643
68,200922,-0.06104813593010895
69,200923,-0.060390517655667234
70,200924,-0.06370397582117802
71,200925,-0.058848154740994175
72,200926,-0.07017784028716588
73,200927,-0.07915869960909187
74,200928,-0.10156603256147993
75,200929,-0.009158421415256328
76,200930,-0.03197564285262862
77,200931,-0.08246742347102087
78,200932,-0.07498048404216019
79,200933,-0.0763017875339076
80,200934,-0.11453076318295802
81,200935,-0.08197326465219962
82,200936,-0.06179951429065173
83,200937,-0.047054843240586355
84,200938,-0.07751366281561384
85,200939,-0.050188632610218185
86,200940,-0.07104012209036505
87,200941,-0.04742375596530498
88,200942,-0.02503959044326699
89,200943,-0.05254251396017083
90,200944,-0.08626828905918656
91,200945,-0.05351057499581993
92,200946,-0.05915449467619419
93,200947,-0.051316641529399964
94,200948,-0.08476585921164272
95,200949,-0.040390273154569736
96,200950,-0.06609483778182931
97,200951,-0.08357321396080797
98,201001,-0.054169526205809705
99,201002,-0.05825819732099518
100,201003,-0.04910985748710205
101,201004,-0.060798634364379364
102,201005,-0.07251167219821386
103,201006,-0.06053590218721005
104,201008,-0.05056058793726553
105,201009,-0.0556840613126298
106,201010,-0.06144745304741891
107,201011,-0.06671152432695165
108,201012,-0.04584584232154533
109,201013,-0.06158318023168086
110,201014,-0.051194426016053445
111,201015,-0.058205238937326466
112,201016,-0.06324637223207481
113,201017,-0.08105343309805871
114,201018,-0.07076806585842448
115,201019,-0.0821727168655113
116,201020,-0.047071419363562406
117,201021,-0.06560550297287245
118,201022,-0.034658111744470796
119,201023,-0.06409034135473934
120,201024,-0.05882122160518123
121,201025,-0.05415115131412905
122,201026,-0.04149377418742585
123,201027,-0.07729604703807942
124,201028,-0.04414441224972013
125,201029,-0.06682328039447626
126,201030,-0.04174772430848306
127,201031,-0.04490174386283841
128,201032,-0.054682164395140065
129,201033,-0.06425649788131273
130,201034,-0.06075460802781599
131,201035,-0.06046568265645084
132,201036,-0.05307281223198439
133,201037,-0.05427617532862108
134,201038,-0.060082050859559234
135,201039,-0.056892441283606876
136,201040,-0.044233473667893
137,201041,-0.0466596987828448
138,201042,-0.027801728480499284
139,201043,-0.04841990987275066
140,201044,-0.056253049338939584
141,201045,-0.040294246180612864
142,201046,-0.052252148026526765
143,201047,-0.05886403731191421
144,201048,-0.028853410622636303
145,201049,-0.03965593849925387
146,201050,-0.04955608199079065
147,201051,-0.03808543045552226
148,201101,-0.03727127632092169
149,201102,-0.04328053246429518
150,201103,-0.05057317993681188
151,201104,-0.057496805257795054
152,201105,-0.052949017865438805
153,201106,-0.05786590212922428
154,201107,-0.04327230884977048
155,201108,-0.07021100722840057
156,201109,-0.08777527082146312
157,201110,-0.07227450323243541
158,201111,-0.08528211097410078
159,201112,-0.08838714907808634
160,201113,-0.07578959704080349
161,201114,-0.07691927788878809
162,201115,-0.08761924548043425
163,201116,-0.06371510659035061
164,201117,-0.06298986191836435
165,201118,-0.07509891393077157
166,201119,-0.057391429223804476
167,201120,-0.053307704957078095
168,201121,-0.04968182160413437
169,201122,-0.07001397435895026
170,201123,-0.05198354750481525
171,201124,-0.04008148112707793
172,201125,-0.039318550844955766
173,201126,-0.06540992465967008
174,201127,-0.041166522020922934
175,201128,-0.043875620889130086
176,201129,-0.04982144436792398
177,201130,-0.028935160587523358
178,201131,-0.052790719397151305
179,201132,-0.05173918208631091
180,201133,-0.07735689008056335
181,201134,-0.05423130688210707
182,201135,-0.03803024893893698
183,201136,-0.02385562756662851
184,201137,-0.037483733015400915
185,201138,-0.024309750643403856
186,201139,-0.0593309546456019
187,201141,-0.04944830200539741
188,201142,-0.05705695749109069
189,201143,-0.040589438735791995
190,201144,-0.05241005195581682
191,201145,-0.04184878425743633
192,201146,-0.03680067118162921
193,201147,-0.02953219712679244
194,201148,-0.024346592729890502
195,201149,-0.04971512893426246
196,201150,-0.022678822348205875
197,201151,-0.04584059387153479
198,201152,-0.03458840058401588
199,201201,-0.043053187426688955
200,201202,-0.039671779308454655
