,Date,CoVaR
0,200803,-3.0120739938558715e-09
1,200804,2.9410725032184965e-09
2,200805,-0.010061054683510892
3,200806,-0.029664153951243277
4,200807,-0.0736684507104198
5,200808,-0.012540540688783772
6,200809,-0.007389668569140973
7,200810,-0.024726932710775428
8,200811,-0.021635663178141955
9,200812,-0.19471949088927787
10,200813,-0.1586918047056196
11,200814,0.04255404111857498
12,200815,-0.07812184673924502
13,200816,0.005264778215224278
14,200817,-0.11248360307235596
15,200818,-0.039289585037651446
16,200819,-0.03977230823929849
17,200820,-0.036743828549575745
18,200821,-0.04992944044837312
19,200822,-0.0300725477355035
20,200823,-0.03947653576934339
21,200824,-0.10773903275425228
22,200825,-0.04798138107747331
23,200826,-0.11856495551822134
24,200827,-0.07410262768732594
25,200828,-0.04398618922528727
26,200829,-0.01726176280849806
27,200830,-0.06741949176689255
28,200831,-0.004785470307484674
29,200832,-0.09620037127221123
30,200833,-0.061670273906610236
31,200834,-0.01185571973583576
32,200835,-0.08204652617471032
33,200836,-0.07730857432460267
34,200837,-0.08181673015873377
35,200838,-0.07434592007835276
36,200840,-0.07099487011151726
37,200841,-0.022502464160044137
38,200842,-0.034335052194807376
39,200843,-0.07888291400869021
40,200844,-0.07118230644314502
41,200845,-0.07027258020600326
42,200846,-0.06971849727645123
43,200847,-0.05403481413117963
44,200848,-0.07977943609472458
45,200849,-0.061193766606489404
46,200850,-0.08223064267291448
47,200851,-0.028485854770952196
48,200901,-0.09135730232503188
49,200902,-0.05180712727938288
50,200903,-0.06407969084481606
51,200905,-0.022660709568636393
52,200906,-0.020256239241973794
53,200907,0.0012591226479242116
54,200908,-0.06056126115563006
55,200909,-0.06119955568172305
56,200910,-0.01736699270275706
57,200911,-0.07128545584485674
58,200912,-0.049954647630824245
59,200913,-0.04865552883568663
60,200914,-0.05650112449443635
61,200915,-0.04632187812599662
62,200916,-0.025707548770617965
63,200917,-0.06514483824422884
64,200918,-0.0364770464606745
65,200919,-0.026003036046278745
66,200920,-0.046384284819774114
67,200921,-0.02667855854168078
68,200922,-0.04549667666767027
69,200923,-0.029134394004969637
70,200924,-0.03418310970262163
71,200925,-0.04139287962601503
72,200926,-0.02713110628622651
73,200927,-0.017551390126052144
74,200928,-0.040547461122120626
75,200929,-0.0352750512482394
76,200930,-0.021117911464195747
77,200931,-0.0918819600764991
78,200932,-0.07115294922896752
79,200933,-0.042649655309332436
80,200934,-0.09761475784068753
81,200935,-0.08332535216599288
82,200936,-0.06418403595241884
83,200937,-0.06207534814729705
84,200938,-0.06618814032564459
85,200939,-0.09446972346089817
86,200940,-0.06501362322655381
87,200941,-0.06221998250006435
88,200942,-0.060356031829595445
89,200943,-0.0390217706350318
90,200944,-0.08025418653605458
91,200945,-0.04550361769046394
92,200946,-0.08180810018351452
93,200947,-0.052174622538864915
94,200948,-0.07328862129514807
95,200949,-0.07000885605181044
96,200950,-0.06207506964816766
97,200951,-0.08979228368811087
98,201001,-0.03973556635781696
99,201002,-0.062463490607123404
100,201003,-0.0641374053877507
101,201004,-0.06688061363160441
102,201005,-0.07294520355693193
103,201006,-0.057439408101413715
104,201008,-0.05865068808841258
105,201009,-0.058359326185633484
106,201010,-0.07517547325570079
107,201011,-0.05266377798451086
108,201012,-0.06245154066764621
109,201013,-0.07281807162693185
110,201014,-0.04943318042025333
111,201015,-0.08457293655642562
112,201016,-0.09279888536511459
113,201017,-0.09505787379513504
114,201018,-0.06373631511464407
115,201019,-0.08640391022617885
116,201020,-0.05912612026872341
117,201021,-0.04263259717770134
118,201022,-0.06299954273432053
119,201023,-0.06061494447575674
120,201024,-0.046348533148518875
121,201025,-0.057666461220611656
122,201026,-0.05861069636044908
123,201027,-0.06642073840326039
124,201028,-0.051241717461943635
125,201029,-0.06577088165922852
126,201030,-0.046032707274082124
127,201031,-0.05859573324076389
128,201032,-0.07793212837512804
129,201033,-0.05346609811848892
130,201034,-0.06630151883240361
131,201035,-0.07944026318991695
132,201036,-0.07505333859123911
133,201037,-0.07553466083733472
134,201038,-0.06846963533980298
135,201039,-0.08010786815412388
136,201040,-0.07749741106225108
137,201041,-0.07652160303803186
138,201042,-0.044044671559992435
139,201043,-0.07835172437342672
140,201044,-0.05403239541613675
141,201045,-0.05610274685761962
142,201046,-0.09287878159769342
143,201047,-0.07374771599786456
144,201048,-0.04680682028363687
145,201049,-0.06778767993315113
146,201050,-0.06724082431378617
147,201051,-0.05487903532662866
148,201101,-0.04215319461720293
149,201102,-0.032645718613135116
150,201103,-0.06500376879070743
151,201104,-0.08820337520606322
152,201105,-0.07818542419488705
153,201106,-0.07129101555162533
154,201107,-0.06906347432743627
155,201108,-0.08030054693402121
156,201109,-0.09533614601806133
157,201110,-0.08223487592311285
158,201111,-0.09875691422538584
159,201112,-0.10791729216218628
160,201113,-0.08220968004969481
161,201114,-0.09789620892673587
162,201115,-0.09255854607822299
163,201116,-0.07848322169750854
164,201117,-0.08831168258907159
165,201118,-0.09158510687059887
166,201119,-0.07720085566071051
167,201120,-0.0687260949342192
168,201121,-0.07788924663574968
169,201122,-0.08819032343999034
170,201123,-0.08691341709466235
171,201124,-0.07908989217178213
172,201125,-0.07146518697432935
173,201126,-0.06509958587107985
174,201127,-0.06827587738988376
175,201128,-0.07185837630929937
176,201129,-0.08221349550862521
177,201130,-0.07751088071373685
178,201131,-0.07991287623191762
179,201132,-0.07275473726320054
180,201133,-0.07421903640033403
181,201134,-0.062168449137319295
182,201135,-0.053433462072330365
183,201136,-0.06442053454820428
184,201137,-0.0678467141296032
185,201138,-0.03945788988656846
186,201139,-0.07416933263941751
187,201141,-0.06600841689984586
188,201142,-0.06900973782277953
189,201143,-0.05923073206778256
190,201144,-0.03733314289899539
191,201145,-0.02343599246690222
192,201146,-0.030149269819808557
193,201147,-0.030923730130614353
194,201148,0.001419334943429059
195,201149,-0.006194641818374687
196,201150,-0.011651352852974365
197,201151,-0.03444771075429333
198,201152,-0.012443342554887672
199,201201,-0.009564746418176324
200,201202,-0.021527094414141256
201,201203,-0.013564275340230431
202,201205,-0.02367714565890852
203,201206,-0.020938019145508635
204,201207,-0.025563129871642443
205,201208,-0.009887823152905253
206,201209,-0.020669234221113778
207,201210,-0.020110442232958197
