,Date,CoVaR
0,200803,5.902031162696899e-10
1,200804,1.1533096597163419e-10
2,200805,0.0042967979968193985
3,200806,-0.02585093809250861
4,200807,-3.676131570973479e-10
5,200808,0.0017781856977587072
6,200809,-0.031812734238221375
7,200810,-0.009413417632939992
8,200811,-2.194594338264237e-09
9,200812,-0.04642747746562457
10,200813,-0.04256826312844653
11,200814,-1.340194007467035e-09
12,200815,-0.051701264589245316
13,200816,-0.000866506536121446
14,200817,-0.1273847834478442
15,200818,-0.06665228227903781
16,200819,-0.0297549496938236
17,200820,-0.047821944492569775
18,200821,-0.02555157704216436
19,200822,-0.04525126530327892
20,200823,-0.04116488375382448
21,200824,-7.98952490006797e-10
22,200825,-0.005775831242754593
23,200826,-0.037163380429967294
24,200827,-0.06541986799696481
25,200828,-0.09229250740758589
26,200829,-0.038301783797820274
27,200830,-0.10814755281137396
28,200831,-0.00274644803148331
29,200832,-0.009666905984394037
30,200833,-0.05293511989915848
31,200834,-0.05778254502203258
32,200835,-0.055311216674645225
33,200836,-0.06723272925951822
34,200837,-0.07739845040928593
35,200838,-0.11782316561258566
36,200840,-0.03014204612943134
37,200841,-0.09597813499718791
38,200842,-0.10006368186208453
39,200843,-0.07926853339347727
40,200844,-0.06556986686675717
41,200845,-0.05128221906333059
42,200846,-0.16587138419327055
43,200847,-0.10339855873408657
44,200848,-0.08738520362163073
45,200849,-0.1247492621776269
46,200850,-0.06891092563461464
47,200851,-0.07283125526127657
48,200901,-0.02871946196552484
49,200902,-0.05306466613015012
50,200903,-0.0035680199153888493
51,200905,-0.01801967378973406
52,200906,-0.029233602136608815
53,200907,-0.05785407946769274
54,200908,-0.04325001485187832
55,200909,-0.032988361077165206
56,200910,-0.0487664594103224
57,200911,-0.03824611794004139
58,200912,-0.045234304091806656
59,200913,-0.03062842346054405
60,200914,-0.030823990043634456
61,200915,-0.01971290802681552
62,200916,-0.020916803783146087
63,200917,-0.026584694398860128
64,200918,-0.050943068974146015
65,200919,-0.05105127239652299
66,200920,-0.03372229853419947
67,200921,-0.009430062151872877
68,200922,-0.030059791829035384
69,200923,-0.03292202428485994
70,200924,-0.03064736047543549
71,200925,-0.06555912974737813
72,200926,-0.019820310791003444
