,Date,CoVaR
0,200803,-2.0834222383590795e-09
1,200804,2.6607480778751493e-09
2,200805,0.0003092763704828321
3,200806,-0.0936527190908957
4,200807,-0.037424760502928256
5,200808,0.007002059475079336
6,200809,-0.02537680168398954
7,200810,-0.010022144762160562
8,200811,-0.06539692912283658
9,200812,-0.1700700554055892
10,200813,-0.15362229052468349
11,200814,-0.0013736064155166951
12,200815,-0.08506084693479941
13,200816,-0.03657220011171284
14,200817,-0.1736210547052731
15,200818,-1.4731615641504322e-08
16,200819,-0.04455293917892597
17,200820,-0.03692354986326609
18,200821,-0.051711793568091066
19,200822,-0.024694165801074162
20,200823,-0.10366752005516909
21,200824,-0.0706578370696115
22,200825,-0.010717185861879712
23,200826,-0.07395438105165221
24,200827,-0.12443113007607605
25,200828,-0.08904047880897625
26,200829,-0.001365618767281439
27,200830,-0.1708469569927445
28,200831,-0.056756009379769025
29,200832,-0.028004283711646535
30,200833,-0.0721982982267612
31,200834,-0.06950527923917217
32,200835,-0.06407404901172335
33,200836,-0.06693189027467977
34,200837,-0.06922129968726141
35,200838,-0.12489613068550394
36,200840,-0.07551899605479266
37,200841,-0.050830978402955
38,200842,-0.040924732447886
39,200843,-0.0673262439577237
40,200844,-0.07023741391764755
41,200845,-0.060967158565766934
42,200846,-0.016545809184769215
43,200847,-0.06715870926445083
44,200848,-0.025768254994034182
45,200849,-0.03590540611789468
46,200850,-0.04423031445486621
47,200851,-0.05844309572633304
48,200901,-0.052405637362477546
49,200902,-0.06827097813317123
50,200903,-0.0790384493700405
51,200905,-0.07308885911790462
52,200906,-0.015171486032656344
53,200907,-0.0165927512899061
54,200908,-0.012502207727958294
55,200909,-0.01567814584216194
56,200910,-0.02196107606455528
57,200911,-0.020765809021524417
58,200912,-0.024219928866957716
59,200913,-0.020600530069371636
60,200914,-0.025525845635932222
61,200915,-0.016874100415737368
62,200916,-0.009229239505206705
63,200917,-0.024641665101870904
64,200918,-0.021197842636052712
65,200919,-0.02952365309355413
66,200920,-0.017534480661004742
67,200921,-0.015211444283480974
68,200922,-0.021593379569855305
69,200923,-0.02403544521193063
70,200924,-0.025881434533409593
71,200925,-0.018012026128822065
72,200926,-0.03240997990468467
73,200927,-0.027095091681035865
74,200928,-0.04963939052303067
75,200929,-0.04255764752683941
76,200930,-0.021991605689778208
77,200931,-0.050656823049022935
78,200932,-0.04237271191549201
79,200933,-0.004485159325580003
80,200934,-0.04642595453762584
81,200935,-0.030941750932341344
82,200936,-0.027372803052819982
83,200937,-0.03595596511178785
84,200938,-0.04049374603619909
85,200939,-0.034468131029375945
86,200940,-0.03822793672922108
87,200941,-0.03627127761801138
88,200942,-0.030967391961404137
89,200943,-0.02473626874492207
90,200944,-0.04744141340393524
91,200945,-0.041743805401816256
92,200946,-0.039085182227210205
93,200947,-0.03607646342779641
94,200948,-0.04054660031958399
95,200949,-0.04549483721852967
96,200950,-0.02828089544347317
97,200951,-0.04846688779287923
98,201001,-0.029746109983396128
99,201002,-0.0323993903848107
100,201003,-0.037117066482230496
101,201004,-0.035493743270816634
102,201005,-0.031145274783430817
103,201006,-0.03323870920737784
104,201008,-0.03718744560123146
105,201009,-0.02962085681032233
106,201010,-0.03964760843907392
107,201011,-0.047749255820354004
108,201012,-0.029183423371500768
109,201013,-0.04656424677712908
110,201014,-0.04331219941705014
111,201015,-0.05148950319956048
112,201016,-0.045178176301883366
113,201017,-0.04903228995911405
114,201018,-0.04571952636071763
115,201019,-0.05233536964772596
116,201020,-0.04698930738990229
117,201021,-0.043907389875340326
118,201022,-0.04671860068395547
119,201023,-0.042698510347390556
120,201024,-0.05101428066774782
121,201025,-0.042122541304483764
122,201026,-0.03543740934863977
123,201027,-0.032482195415406104
124,201028,-0.01986198889692387
125,201029,-0.0228462654712185
126,201030,-0.04888045259074111
127,201031,-0.037596912839246543
128,201032,-0.04102342837759583
129,201033,-0.03048847086352117
130,201034,-0.04262287952660734
131,201035,-0.043069135523218526
132,201036,-0.04206889557880665
133,201037,-0.04363467483596016
134,201038,-0.03543018615143263
135,201039,-0.03660254543997409
136,201040,-0.03257083775602346
137,201041,-0.036715252751979864
138,201042,-0.042813965578181054
139,201043,-0.040018740085518985
140,201044,-0.033320925284724134
141,201045,-0.05218960887963655
142,201046,-0.06228199344817682
143,201047,-0.04563202392906066
144,201048,-0.07642830897794126
145,201049,-0.02872576263448199
146,201050,-0.048067838014661586
147,201051,-0.045574947626270415
148,201101,-0.04764904571811648
149,201102,-4.075803288698015e-11
150,201103,-0.034819351235443385
151,201104,-0.06265400298310464
152,201105,-0.05248517312035088
