,Date,CoVaR
0,200803,2.502678629630944e-10
1,200804,1.0791525353199303e-11
2,200805,0.0007080220829750467
3,200806,-0.026230328430375423
4,200807,-0.007227181767684372
5,200808,-0.003185641725265251
6,200809,-0.002284357239074958
7,200810,-0.019353812102408614
8,200811,-0.011083339552417167
9,200812,-0.03915209727544898
10,200813,-0.025653635052438086
11,200814,-0.0146201444895961
12,200815,-0.04237727214053302
13,200816,-0.022716141204693615
14,200817,-0.17573661597808773
15,200818,-0.062303441848608504
16,200819,-0.08571852341811707
17,200820,-0.04718188563357064
18,200821,-0.052751213194492545
19,200822,-0.04335309852201384
20,200823,-0.05516341984672479
21,200824,-0.06939946773373626
22,200825,-0.015529032522776669
23,200826,-0.07674801519550928
24,200827,-0.06007651465822063
25,200828,-0.05591483597909088
26,200829,-0.0036299648941027426
27,200830,-0.09588367540615433
28,200831,-6.711607745178012e-09
29,200832,-0.03987029899638895
30,200833,-0.05066015358029677
31,200834,-0.024254688562994682
32,200835,-0.047647253347683945
33,200836,-0.033018608447126854
34,200837,-0.03609287245742051
35,200838,-0.02559921944050979
36,200840,-0.07248005661824346
37,200841,-1.1518638681945357e-09
38,200842,-0.05792558234889922
39,200843,-0.036521329784675816
40,200844,-0.038582683431097664
41,200845,-0.0559718359331558
42,200846,-0.08765050667084036
43,200847,-0.050813763802810524
44,200848,-0.04821602143362113
45,200849,-0.05245633562749327
46,200850,-0.04282163845715548
47,200851,-0.03464643014672897
48,200901,-0.04413965377133987
49,200902,-0.022427481307692045
50,200903,-0.045702873506157836
51,200905,-0.024456048876939855
52,200906,-0.05837187071456168
53,200907,-0.009781943883039271
54,200908,-0.02248031612166025
55,200909,-0.015079079002379474
56,200910,-0.01428520642540477
57,200911,-0.019312671792961204
58,200912,-0.03038476876788971
59,200913,-0.023659806281575504
60,200914,-0.01993377399451887
61,200915,-0.012567333454937544
62,200916,-0.008946733164015092
63,200917,-0.017426862356584374
64,200918,-0.0106650561943136
65,200919,-0.01050853417813631
66,200920,-0.012271802682726847
67,200921,-0.006547233723765669
68,200922,-0.014443497251657486
69,200923,-0.015164490494577064
70,200924,-0.016531158142814997
71,200925,-0.02881331623005785
72,200926,-0.012662972628111998
73,200927,-0.010194273262647598
74,200928,-0.015026880216759055
75,200929,-0.009211329324479637
76,200930,-0.017114520677125038
77,200931,-0.047239111157182226
78,200932,-0.022786884211251454
79,200933,-0.017045326573021845
80,200934,-0.04345873211048154
81,200935,-0.018643255050216804
82,200936,-0.031939307082657825
83,200937,-0.032727142728880616
84,200938,-0.02806574955431232
85,200939,-0.02087905048978489
86,200940,-0.02628894622320527
87,200941,-0.024477603745426936
88,200942,-0.03451356659025888
89,200943,-0.02715486219568743
90,200944,-0.02819919892732569
91,200945,-0.04446398701803272
92,200946,-0.014523770565401816
93,200947,-0.023632306502497934
94,200948,-0.025817866562623904
95,200949,-0.03384102451694259
96,200950,-0.02593913436461869
97,200951,-0.03565973870397244
98,201001,-0.02726126001041291
99,201002,-0.024331375425761574
100,201003,-0.027814505694353436
101,201004,-0.02783756804760638
102,201005,-0.027138129395073114
103,201006,-0.016965749621046553
104,201008,-0.022973092394408492
105,201009,-0.02170413002307746
106,201010,-0.022580470087365495
107,201011,-0.03835879763119744
108,201012,-0.016368851121091623
109,201013,-0.031476960457514074
110,201014,-0.023005215400677025
111,201015,-0.0225681108343952
112,201016,-0.043059457363489255
113,201017,-0.04966548912376882
114,201018,-0.041604070750594274
115,201019,-0.05499310624003452
116,201020,-0.034421314709468645
117,201021,-0.038422814416272676
118,201022,-0.022337497000251456
119,201023,-0.032576840937195845
120,201024,-0.025656059553795053
121,201025,-0.018653323514415256
122,201026,-0.02736474245797011
123,201027,-0.062140479929317365
124,201028,-0.037512801008678036
125,201029,-0.04107898859818687
126,201030,-0.035234885881822615
127,201031,-0.023736847638800247
128,201032,-0.038661523343895304
129,201033,-0.03637909735557397
130,201034,-0.0438480057750821
131,201035,-0.03563346726404655
132,201036,-0.03702629603455481
133,201037,-0.03320884152295064
134,201038,-0.02662860295690992
135,201039,-0.03276907523727064
136,201040,-0.031671534215345076
137,201041,-0.03173315998736971
138,201042,-0.033122496796397914
139,201043,-0.012720296513703176
140,201044,-0.024880276697020597
141,201045,-0.03795422138133001
142,201046,-0.0380251892974426
143,201047,-0.03418430808450802
144,201048,-0.010085879619995287
145,201049,-0.024587870183953905
146,201050,-0.03140300992118786
