,Date,CoVaR
0,200803,-4.568219078422322e-09
1,200804,-1.8022941691160359e-09
2,200805,-0.006406335427457416
3,200806,-0.06357316139676941
4,200807,-8.283981632631593e-09
5,200808,-0.07949462076090108
6,200809,-0.042732423216940874
7,200810,-0.012249595984777118
8,200811,-0.07032090534032738
9,200812,-0.2011167475621615
10,200813,-0.14494665295414316
11,200814,-0.06315886342963918
12,200815,-0.08422170072645198
13,200816,-0.06642364564993863
14,200817,-0.04009146854382686
15,200818,-0.038996633389112925
16,200819,-0.03915719349309326
17,200820,-0.05630720186800186
18,200821,-0.07474983771039256
19,200822,-0.03548537510366706
20,200823,-0.1001515788659935
21,200824,-0.1815667929560319
22,200825,-0.04846558256573007
23,200826,-0.1401943471887725
24,200827,-0.11709938187270601
25,200828,-0.021847187963572535
26,200829,-0.0053966424355774145
27,200830,-0.14060419690831694
28,200831,-0.11628325995419325
29,200832,-0.06604017641186229
30,200833,-0.06118081645287827
31,200834,-0.04662576699794512
32,200835,-0.07848304851937807
33,200836,-0.07571270978948179
34,200837,-0.11547462687690896
35,200838,-0.15688361660699454
36,200840,-0.016216161687610857
37,200841,-1.0485874606800563e-08
38,200842,-0.03802800729020422
39,200843,-0.12198491568535554
40,200844,-0.11041861531363864
41,200845,-0.03796779757389435
42,200846,-7.081597575785621e-08
43,200847,-0.10610703777223966
44,200848,-0.012877480683257576
45,200849,-0.025108612706351653
46,200850,-0.07440818075889874
47,200851,-0.05897854277580567
48,200901,-0.08032284187532705
49,200902,-0.07783258353508589
50,200903,-0.01608140854564539
51,200905,-0.04983284361767271
52,200906,-0.03560338541818104
53,200907,-0.05726243367114304
54,200908,-0.037706295958908516
55,200909,-0.07500669740340804
56,200910,-0.02533999583783391
57,200911,-0.06230157109997988
58,200912,-0.049272771935643125
59,200913,-0.05059035505347388
60,200914,-0.05925037183658701
61,200915,-0.056785471392680475
62,200916,-0.05304409116490589
63,200917,-0.06805539605984619
64,200918,-0.06669026267543235
65,200919,-0.03468171850742014
66,200920,-0.03578942287593285
67,200921,-0.007297832850023407
68,200922,-0.029219606622141403
69,200923,-0.014492520870585739
70,200924,-0.040112242303912894
71,200925,-0.07169599379499397
72,200926,-0.027674843335024863
73,200927,-0.031222450273647624
74,200928,-0.060828158715436356
75,200929,-0.03510501578755594
76,200930,0.0012120124910650382
77,200931,-0.08735079680334605
78,200932,-0.08027552776693848
79,200933,-0.0656519286545352
80,200934,-0.1036186685849812
81,200935,-0.09203463255099072
82,200936,-0.06061974990905736
83,200937,-0.05464759991047451
84,200938,-0.07580679054360169
85,200939,-0.08764915278653171
86,200940,-0.07783994568770683
87,200941,-0.06623517324557594
88,200942,-0.0502606216897072
89,200943,-0.04865355968755827
90,200944,-0.0938074901775186
91,200945,-0.050807496808377234
92,200946,-0.08764983995599403
93,200947,-0.0653476452308091
94,200948,-0.09898041829011255
95,200949,-0.03810494050989074
96,200950,-0.074553871069968
97,200951,-0.09214520510380587
98,201001,-0.059466598939269984
99,201002,-0.07590454614662072
100,201003,-0.06255540875295634
101,201004,-0.08088787335479419
102,201005,-0.08810969074104494
103,201006,-0.08068101401842226
104,201008,-0.051533913717372155
105,201009,-0.06475972093196708
106,201010,-0.06989101299902457
107,201011,-0.05338004506545211
108,201012,-0.06879094033392953
109,201013,-0.05994245046021731
110,201014,-0.04334072848950248
111,201015,-0.056479696753924974
112,201016,-0.0687239930392294
113,201017,-0.08733847045210359
114,201018,-0.09032846463608822
115,201019,-0.10322444269733125
116,201020,-0.06455845639133907
117,201021,-0.0836745189023007
118,201022,-0.049089117950496586
119,201023,-0.0857059634890916
120,201024,-0.06522201684623997
121,201025,-0.07714420750664393
122,201026,-0.05449670530915858
123,201027,-0.0825150205237143
124,201028,-0.030122834635853087
125,201029,-0.07319508883831385
126,201030,-0.03262316024208842
127,201031,-0.058442017667700574
128,201032,-0.05965580183175743
129,201033,-0.08894566328424394
130,201034,-0.0660537025458901
131,201035,-0.07958926843904408
132,201036,-0.06566592545716249
133,201037,-0.06948396877124513
134,201038,-0.08190183554409562
135,201039,-0.07924511455798477
