,Date,CoVaR
0,200803,1.3470907736366548e-09
1,200804,1.3008561343833681e-09
2,200805,-0.06894212402882959
3,200806,-0.023035850915170217
4,200807,-0.03295534198305075
5,200808,-0.013725594524823243
6,200809,-0.02262890421360161
7,200810,-0.0305799085644493
8,200811,-0.040692805947157934
9,200812,-0.09297460413227178
10,200813,-0.08811345667173595
11,200814,-0.047374191549853534
12,200815,-0.0978913729071932
13,200816,-0.06318012383868135
14,200817,-0.11391141063241958
15,200818,-0.031848751384687075
16,200819,-0.037668750724096076
17,200820,-0.0438348276581383
18,200821,-0.05189531922510646
19,200822,-0.042776937419270675
20,200823,-0.028035511181760123
21,200824,-2.9741171402783973e-09
22,200825,-0.019329367095025037
23,200826,-0.06091638344416935
24,200827,-0.08492835633279626
25,200828,-0.10064108685217747
26,200829,-0.020557652212264816
27,200830,-0.061921069249357405
28,200831,-5.505657751415645e-09
29,200832,-0.0008229756809928819
30,200833,-0.03896598890688157
31,200834,-0.061280136347338365
32,200835,-0.026888937565573496
33,200836,-0.07848476967716236
34,200837,-0.04273747578621419
35,200838,-0.0715330281836779
36,200840,-0.058577714883835126
37,200841,-0.05792235554626133
38,200842,-0.1402632878926567
39,200843,-0.08730412462813922
40,200844,-0.06859736024779184
41,200845,-0.06985728016885356
42,200846,-0.12528254462599875
43,200847,-0.0934795437662696
44,200848,-0.09724836490685701
45,200849,-0.09153686115837117
46,200850,-0.06674914825398937
47,200851,-0.05348283338684966
48,200901,-0.05466281507308462
49,200902,-0.035234030494497616
50,200903,-0.07361574196965127
51,200905,-0.009607580708773544
52,200906,-0.06967257279598475
53,200907,-0.0543462345921864
54,200908,-0.045488502207641696
55,200909,-0.07023201133274763
56,200910,-0.0798335702122935
57,200911,-0.05111826226118989
58,200912,-0.05985261381853279
59,200913,-0.06388691902755445
60,200914,-0.055116164450374636
61,200915,-0.0429563463431478
62,200916,-0.01524601108926617
63,200917,-0.030447184916403303
64,200918,-0.04620422485719637
65,200919,-0.007949346927891255
66,200920,-0.007199655691010526
67,200921,-0.026074772244032596
68,200922,-0.020399588065149472
69,200923,-0.04651180662886756
70,200924,-0.03494810648146535
71,200925,-0.034209888229254665
72,200926,-0.03702589772486436
73,200927,-0.012787966226780701
74,200928,-0.026500752889725906
75,200929,-0.008454445973405724
76,200930,-0.04680688004396684
77,200931,-0.10275180021012355
78,200932,-0.03834877616338901
79,200933,-0.030724632222391034
80,200934,-0.0661953452942032
81,200935,-0.03877588310888954
82,200936,-0.04069656492437
83,200937,-0.03041435593188359
84,200938,-0.03547174755862649
85,200939,-0.020833095181027605
86,200940,-0.03266926682636378
87,200941,-0.02929267788271243
88,200942,-0.02804913563010771
89,200943,-0.03308825791294819
90,200944,-0.054491036031318774
91,200945,-0.06208028144752953
92,200946,-0.034342300239933156
93,200947,-0.04290809406624875
94,200948,-0.05313660572340513
95,200949,-0.056963585317199084
96,200950,-0.041014544394083294
97,200951,-0.06962448772547872
98,201001,-0.03911571976758518
99,201002,-0.0369961401719306
100,201003,-0.03839207917975017
101,201004,-0.03425119240434943
102,201005,-0.042388805481187994
103,201006,-0.02894567485668386
104,201008,-0.03896084302169903
105,201009,-0.03428048997229926
106,201010,-0.0392564303969813
107,201011,-0.057428887864124006
108,201012,-0.02345844871296918
109,201013,-0.05544784568061487
110,201014,-0.03252500642138857
111,201015,-0.04233766820330136
112,201016,-0.03764421173952337
113,201017,-0.053336509396718065
114,201018,-0.047291092689713106
115,201019,-0.05008618392873155
116,201020,-0.030219754121125084
117,201021,-0.034144552030195716
118,201022,-0.028320642411826146
119,201023,-0.033684306725995115
120,201024,-0.04889486650252367
121,201025,-0.029368503577316154
122,201026,-0.022179252764833905
123,201027,-0.031214263449091322
124,201028,-0.03728564252202563
125,201029,-0.038908039409856154
126,201030,-0.06079723844759005
127,201031,-0.039147845219377676
128,201032,-0.0439115134951881
129,201033,-0.03765376002820952
130,201034,-0.06714633688961043
131,201035,-0.04422045396145704
132,201036,-0.05206219983549089
133,201037,-0.05665187300075291
134,201038,-0.04345694804825803
135,201039,-0.03551293728014596
136,201040,-0.02849760247306965
137,201041,-0.05151635561063879
138,201042,-0.05647235743544694
139,201043,-0.06617625469657235
140,201044,-0.04446537191254329
141,201045,-0.06914256611240706
142,201046,-0.049451386927282286
143,201047,-0.02515699780246559
144,201048,-0.0106540284713155
145,201049,-0.00612912943718286
146,201050,-0.03495815772606045
147,201051,-0.006436890304985478
148,201101,-0.0027713324002073565
149,201102,-0.021754080768380177
150,201103,-0.03381474195585379
151,201104,-0.048417007753520085
152,201105,-0.04625786954278252
153,201106,-0.04481217884347244
154,201107,-0.032238204007534604
155,201108,-0.060013348175943344
156,201109,-0.07331621513633187
157,201110,-0.07889715226595098
158,201111,-0.06518025168183766
159,201112,-0.06668421409568029
160,201113,-0.056968762246233984
161,201114,-0.0629879425831331
162,201115,-0.07304542061513275
163,201116,-0.07426688744059864
164,201117,-0.06737162732471237
165,201118,-0.08446483035317609
166,201119,-0.0791290407365253
167,201120,-0.07443536971068791
168,201121,-0.068738770688322
169,201122,-0.08036658044251156
170,201123,-0.059765945403007545
171,201124,-0.04483079716858251
172,201125,-0.038891491051427654
173,201126,-0.06576112973757899
174,201127,-0.057141300554727985
175,201128,-0.06715240364939562
176,201129,-0.07078457256858223
177,201130,-0.04432140795847314
178,201131,-0.06232595256365291
179,201132,-0.05310395609285991
180,201133,-0.06949472479598104
181,201134,-0.07094546172605948
182,201135,-0.05709151748407348
183,201136,-0.04819289560652011
184,201137,-0.045819799608557206
185,201138,-0.04286140973878959
186,201139,-0.0710035776475316
187,201141,-0.07516810619913762
188,201142,-0.08816572935157246
189,201143,-0.1070980890855296
190,201144,-0.07720331571535938
191,201145,-0.09157460823375335
192,201146,-0.10430794733179724
193,201147,-0.09892706109936372
194,201148,-0.08669331146219776
195,201149,-0.11797579551870145
196,201150,-0.07583741759283015
197,201151,-0.07251198004346178
198,201152,-0.04942982626470922
199,201201,-0.03942986529029192
