,Date,CoVaR
0,200803,-4.6050688505427266e-09
1,200804,1.4771664361522745e-09
2,200805,0.0030322006312042075
3,200806,-0.0904065821884171
4,200807,-0.0144534797712396
5,200808,-0.07889636899575098
6,200809,-0.04746222291781014
7,200810,-0.03777119278094203
8,200811,-0.028699142680851213
9,200812,-0.1520814642785291
10,200813,-0.1084935838785132
11,200814,-0.032269056627626705
12,200815,-0.003270664130179898
13,200816,-0.04106991924268803
14,200817,-0.1823906488893532
15,200818,-0.008059140180521588
16,200819,-0.039627521895562685
17,200820,-0.014393452372658858
18,200821,-0.021637433270924582
19,200822,-0.008772930594255365
20,200823,-0.05239120015700667
21,200824,-0.07396543875685681
22,200825,-0.012107681404900985
23,200826,-0.10752366798153176
24,200827,-0.0952450430138783
25,200828,-0.036305049922703746
26,200829,0.0031690973880914588
27,200830,-0.12007106117441269
28,200831,-0.17064134315790566
29,200832,-0.060796870960927764
30,200833,-0.042816712964003606
31,200834,-0.004275539842080598
32,200835,-0.06739084666309385
33,200836,-0.02779076384297325
34,200837,-0.11409695312818045
35,200838,-0.1755302446635369
36,200840,-0.11093977986615138
37,200841,-0.08566650013633917
38,200842,-5.845258139328047e-09
39,200843,-0.0904737648932229
40,200844,-0.09932799588216477
41,200845,-0.10659936844760864
42,200846,-0.10585662418543633
43,200847,-0.07620087734076836
44,200848,-0.008508052204074811
45,200849,-0.023088751857660437
46,200850,-0.0625396952517099
47,200851,-0.05215420923144167
48,200901,-0.07972881797243163
49,200902,-0.04583919213687087
50,200903,0.035812380371112715
51,200905,-0.01045017096080166
52,200906,-0.014500058284668995
53,200907,-0.03595839367736196
54,200908,-0.035171260644426064
55,200909,-0.0477223415955447
56,200910,-0.007349929724882694
57,200911,-0.04503929599184486
58,200912,-0.08473262689586569
59,200913,-0.026429001644957217
60,200914,-0.04996611292729378
61,200915,-0.04153128717955253
62,200916,-0.03251658738969353
63,200917,-0.058420918245343734
64,200918,-0.03976581502460297
65,200919,-0.04598066803588846
66,200920,-0.04430883020762678
67,200921,-0.015114184047441689
68,200922,-0.04991228076327528
69,200923,-0.015643779242703368
70,200924,-0.04057242883700036
71,200925,-0.07232299834891519
72,200926,-0.03115256170379422
73,200927,-0.02012009342894554
74,200928,-0.07123146832511314
75,200929,-0.03237120261836207
76,200930,-0.05788029347749341
77,200931,-0.09750013523956172
78,200932,-0.04843358385971993
79,200933,-0.009071898359582511
80,200934,-0.09488483968994373
81,200935,-0.05917663689197751
82,200936,-0.04057348562017184
83,200937,-0.047263388600098925
84,200938,-0.06092867334563827
85,200939,-0.04450904048757222
86,200940,-0.053502288311336306
87,200941,-0.05385517396644507
88,200942,-0.010503468362085145
89,200943,-0.04445179443783643
90,200944,-0.07271211001979497
91,200945,-0.05603580488673171
92,200946,-0.06595740157369386
93,200947,-0.06191895785662049
94,200948,-0.0708546182589588
95,200949,-0.07266827105089031
96,200950,-0.04378802980356517
97,200951,-0.0876332251638204
98,201001,-0.035359451003720316
99,201002,-0.037972588775876163
100,201003,-0.0405127430311199
101,201004,-0.06060718835255044
102,201005,-0.05724174720165869
103,201006,-0.057575043753271035
104,201008,-0.04367168573805894
105,201009,-0.05155413853727686
106,201010,-0.043244512406658414
107,201011,-0.006265605910868747
108,201012,-0.048638019865186725
109,201013,-0.024440832800600033
110,201014,-0.029587382799842635
111,201015,-0.03364730488287132
112,201016,-0.06613636492972365
113,201017,-0.07890138267750824
114,201018,-0.05630371949758879
115,201019,-0.07995748467949063
116,201020,-0.045729999639390236
117,201021,-0.05288220517147231
118,201022,-0.029875417295960115
119,201023,-0.035867322706890456
120,201024,-0.027005550602232763
121,201025,-0.015812078235782283
122,201026,-0.03483753071081212
123,201027,-0.07892328584360753
124,201028,-0.0468452035677544
125,201029,-0.04430238206629131
126,201030,-0.05288724629790297
127,201031,-0.02917904229764839
128,201032,-0.05061067413370237
129,201033,-0.042697547292622345
130,201034,-0.055212884458239145
131,201035,-0.04230844047151459
132,201036,-0.04695058805460415
133,201037,-0.03936131575828603
134,201038,-0.025587716161676113
135,201039,-0.04056295586106516
136,201040,-0.045456032376627056
137,201041,-0.04149607781897386
138,201042,-0.05906131939560911
139,201043,-0.0015267165078176792
140,201044,-0.02419548188817112
141,201045,-0.02537911766064562
142,201046,-0.05898420788363597
143,201047,-0.06339292744000238
144,201048,-0.030485772314787878
145,201049,-0.04574357307378016
146,201050,-0.04571791175784374
147,201051,-0.042572163993173186
148,201101,0.008471546612239768
149,201102,-0.016332926446322105
150,201103,-0.013852053902788106
151,201104,-0.03700334993957843
152,201105,-0.049649256320654214
153,201106,-0.04300718204032077
154,201107,-0.027687630815612308
155,201108,-0.07964263495156848
156,201109,-0.08147706975419647
157,201110,-0.08019884693174255
158,201111,-0.07490831749569185
159,201112,-0.08418822179561879
160,201113,-0.0694275942461501
161,201114,-0.07042367645060457
162,201115,-0.08921410104433324
163,201116,-0.08937007885146785
164,201117,-0.0723606168670821
165,201118,-0.08903809235332767
166,201119,-0.08463721203015385
167,201120,-0.07794023243199553
168,201121,-0.07650788970377749
169,201122,-0.08374584281402107
170,201123,-0.08123776228836786
171,201124,-0.058699584078021776
172,201125,-0.04630133206232085
173,201126,-0.09858696616890075
174,201127,-0.06207741402063879
175,201128,-0.07855532256743777
176,201129,-0.08816915853971735
177,201130,-0.03753758823380506
178,201131,-0.06744671019861438
179,201132,-0.05876331310556914
180,201133,-0.08875442194903985
181,201134,-0.07718098776239549
182,201135,-0.07427428204206964
183,201136,-0.053418947887132084
184,201137,-0.05954905648725227
185,201138,-0.037575233783392635
186,201139,-0.10393488422587209
187,201141,-0.09183118268980323
188,201142,-0.10338418418456713
189,201143,-0.09184465091419534
190,201144,-0.07840458600661947
191,201145,-0.10036820813455921
192,201146,-0.11430252868771468
193,201147,-0.08118977970653471
194,201148,-0.07283414973605631
195,201149,-0.11693371205066151
196,201150,-0.06696041719379943
197,201151,-0.09855262838398356
198,201152,-0.07757995105983934
199,201201,-0.08353664289506953
200,201202,-0.0904817342150036
201,201203,-0.09750113239917531
202,201205,-0.09692476972163798
203,201206,-0.0730650922453219
204,201207,-0.0545809924841241
205,201208,-0.057573174672884725
206,201209,-0.054821558475581594
207,201210,-0.05875044760045648
208,201211,-0.061924220036163456
209,201212,-0.08395569003042071
210,201213,-0.05069299623012348
211,201214,-0.055051043736274806
212,201215,-0.04395837390302406
213,201216,-0.056132199873500814
214,201217,-0.05564120296324966
215,201218,-0.02995384953735362
216,201219,-0.028927610717607792
217,201220,-0.029530579726852368
218,201221,-0.042009956704877525
219,201222,-0.0177971820916142
220,201223,-0.028829026969730123
221,201224,-0.033293171081981925
222,201225,-0.013939912071370988
223,201226,-0.024489144414023663
224,201227,-0.04265346687553941
225,201228,-0.022253777653265274
226,201229,-0.03957844545089817
227,201230,-0.04449697358471589
228,201231,-0.03537208700881965
229,201232,-0.03404843106706576
230,201233,-0.02749653377671684
231,201234,-0.03375691303416445
232,201235,-0.03325903398007296
233,201236,-0.024826981968243844
234,201237,-0.05300239335334056
235,201238,-0.01746728139044767
236,201239,-0.05548870229479801
237,201241,-0.051550243472313906
238,201242,-0.03994840614934827
239,201243,-0.030437345049814025
240,201244,-0.034822131490498356
241,201245,-0.023055904305096936
242,201246,-0.041152568465706287
243,201247,-0.04293615571993815
244,201248,-0.024092211497143485
245,201249,-0.03622014812706762
246,201250,-0.05593508942221466
247,201251,-0.050356844111766184
248,201252,-0.036084283474884606
249,201300,-0.0357562689501711
250,201301,-0.032717607522268655
251,201302,-0.038524554803573266
252,201303,-0.049723386036741264
253,201304,-0.04376016988759588
254,201305,-0.07726356903243753
255,201307,-0.031032533494844215
256,201308,-0.05586557040779737
257,201309,-0.042478322767024165
258,201310,-0.06533765454210975
259,201311,-0.04469451406107782
260,201312,-0.04103927176744142
261,201313,-0.041626320102870464
262,201314,-0.024820818850196994
263,201315,-0.03642115999043823
264,201316,-0.03618472531669246
265,201317,-0.04479012819810325
266,201318,-0.03569268898440561
267,201319,-0.03766976264398945
268,201320,-0.03888088008883402
269,201321,-0.03313241103914969
270,201322,-0.033750643290826866
271,201323,-0.046536278629113075
272,201324,-0.04155209486570669
273,201325,-0.06127316324813057
274,201326,-0.09505714176680251
275,201327,-0.03683229285664119
276,201328,-0.06144294150665724
277,201329,-0.04762414553690451
278,201330,-0.04859211335439881
279,201331,-0.03882874632193079
280,201332,-0.024558645327403723
281,201333,-0.05754239216923346
282,201334,-0.04353493951826907
283,201335,-0.036550107953613846
284,201336,-0.05155678836321356
285,201337,-0.05527425889378072
286,201338,-0.057028613454609585
287,201339,-0.05316812878790026
288,201340,-0.027273379487785545
289,201341,-0.03503532531956614
290,201342,-0.03811767068547392
291,201343,-0.04457818776404918
292,201344,-0.04278167056449533
293,201345,-0.03031840353209619
294,201346,-0.03611428449949146
295,201347,-0.047936954437939
296,201348,-0.052387400679698645
297,201349,-0.04444400506885375
298,201350,-0.03161183437770299
299,201351,-0.053474418712714925
300,201400,-0.042990922067987
301,201401,-0.0249911148580042
302,201402,-0.051650970799668385
303,201403,-0.030036501821060383
304,201404,-0.03846532844808713
305,201405,-0.027727453774416815
306,201406,-0.032434124497076694
307,201407,-0.045770228085446486
308,201408,-0.04734743701101096
309,201409,-0.054907208782718625
310,201410,-0.01686332217604239
311,201411,-0.03221574454980197
312,201412,-0.029509379437452316
313,201413,-0.02074645092350664
314,201414,-0.03152920601379632
315,201415,-0.06328295187027573
316,201416,-0.04614122903584557
317,201417,-0.03418935746671054
318,201418,-0.039851605510050264
319,201419,-0.05666945719571327
320,201420,-0.024183747966511508
321,201421,-0.028473944063551887
322,201422,-0.033511610725151506
323,201423,-0.03141814106904619
324,201424,-0.03540637394726854
325,201425,-0.04521042017687199
326,201426,-0.024167415422171202
327,201427,-0.013820877732664083
328,201428,-0.02529263483600972
329,201429,-0.015460895783869248
330,201430,-0.04811382246942776
331,201431,-0.05854232704428623
332,201432,-0.03684711435456056
333,201433,-0.03350582030493587
334,201434,-0.02725957489280173
335,201435,-0.04310154485577017
336,201436,-0.052336428462172006
337,201437,-0.03504500190604674
338,201438,-0.05508088058569419
339,201439,-0.04824312823848706
340,201440,-0.029490053040711412
341,201441,-0.024978755654724332
342,201442,-0.055472745299011444
343,201443,-0.04572430654201239
344,201444,-0.06740933507509377
345,201445,-0.04820215799699401
346,201446,-0.04038184764868622
347,201447,-0.038602822527418104
348,201448,-0.07336986848255121
349,201449,-0.09593407501557177
350,201450,-0.07384991066217399
351,201451,-0.09144321974754699
352,201501,-0.08274452165650732
353,201502,-0.05267573425452093
354,201503,-0.0643049058967195
355,201504,-0.06712095858482531
356,201505,-0.04919448141824393
357,201506,-0.061647977927994695
358,201507,-0.049985227042976435
359,201508,-0.024099072143574384
360,201509,-0.04290692038355822
361,201510,-0.03529388760406904
362,201511,-0.05878533144849682
363,201512,-0.04683726488694445
364,201513,-0.0180576775981308
365,201514,-0.036445483392968776
366,201515,-0.03389846330736341
367,201516,-0.0787494080325279
368,201517,-0.04948303070092855
369,201518,-0.044527526500092285
370,201519,-0.07940410900844569
371,201520,-0.03324883522930553
372,201521,-0.062031893634165815
373,201522,-0.06107769953012264
374,201523,-0.0499714084312733
375,201524,-0.04232068484757761
376,201525,-0.09293215808578752
377,201526,-0.09708439061592215
378,201527,-0.12830060935327417
379,201528,-0.126224293603338
380,201529,-0.0680350955680664
381,201530,-0.06500958000320925
382,201531,-0.09579219292254963
383,201532,-0.06386894399265601
384,201533,-0.06501312075987722
385,201534,-0.08740623169901873
386,201535,-0.10638249303352369
387,201536,-0.06004849754361167
388,201537,-0.061337211978835814
389,201538,-0.06882855984318637
390,201539,-0.05103492339324507
391,201540,-0.03623462629563062
392,201541,-0.037391350667964084
