,Date,CoVaR
0,200803,1.0495620569422056e-09
1,200804,1.4995086616176952e-09
2,200805,0.00010177316346533551
3,200806,-0.05660608636488252
4,200807,-0.038572360893395885
5,200808,-0.06694029979224024
6,200809,-0.06817109420756162
7,200810,-0.01793584329820011
8,200811,-0.03222540201806844
9,200812,-0.13853173564548024
10,200813,-0.16395751827522734
11,200814,-0.029927732192540073
12,200815,-0.018423932298837712
13,200816,-0.04924790539815327
14,200817,1.4135331362372492e-09
15,200818,-1.4858162353272703e-08
16,200819,-0.017549841831890112
17,200820,-0.033091370123356875
18,200821,-0.03280263588458443
19,200822,-0.04436038715496841
20,200823,-0.07052802302582922
21,200824,-0.05223565110400083
22,200825,-1.0254145352804648e-09
23,200826,-0.04129038948111397
24,200827,-0.08679659267134807
25,200828,-0.05774487503324251
26,200829,-0.04569745859858952
27,200830,-0.06660250687834704
28,200831,-0.06227145558056624
29,200832,-0.05393518159446311
30,200833,-0.08526391112877066
31,200834,-0.0667851198940271
32,200835,-0.07231960590684468
33,200836,-0.10358519320626978
34,200837,-0.08046964039480724
35,200838,-0.1352608629175181
36,200840,-0.08970964100508387
37,200841,-0.10415406924188847
38,200842,-0.1270802278364419
39,200843,-0.046570156989784374
40,200844,-0.028449784500349153
41,200845,-0.010012462580195466
42,200846,-0.022755302860117965
43,200847,-0.024327317191866486
44,200848,-0.03750829746898939
45,200849,-0.057363873328859456
46,200850,-0.05819959343094214
47,200851,-0.055955242308836375
48,200901,-0.06684079830250181
49,200902,-0.08897800771744988
50,200903,-0.09001024579450059
51,200905,-0.09800154302353371
52,200906,-0.15492237118272575
53,200907,-0.08377369164597906
54,200908,-0.03975858228449864
55,200909,-0.10240660649078216
56,200910,-0.04674898035646181
57,200911,-0.062210730542142684
58,200912,-0.08085145405334894
59,200913,-0.059192784569333426
60,200914,-0.07668206818052865
61,200915,-0.04508953811004775
62,200916,-0.04490269537993735
63,200917,-0.06627481755711598
64,200918,-0.04379823396587857
65,200919,-0.029556557496646922
66,200920,-0.01632334707065658
67,200921,-0.03255368892176976
68,200922,-0.0209780053017626
69,200923,-0.029706234370151362
70,200924,-0.02841739097554923
71,200925,-0.003766372608409953
72,200926,-0.03433988950462626
73,200927,-0.031108755582288677
74,200928,-0.0552360182119601
75,200929,-0.06943913632069829
76,200930,-0.005372067105826662
77,200931,-0.07847994628982474
78,200932,-0.08038385661415784
79,200933,-0.05353442173619801
80,200934,-0.08827498652518927
81,200935,-0.04343377743174615
82,200936,-0.049975033463014816
83,200937,-0.03725015046505113
84,200938,-0.06228432694531177
85,200939,-0.03421890260289271
86,200940,-0.06499208046277162
87,200941,-0.026649823002962515
88,200942,-0.0476551204221521
89,200943,-0.04671201155098558
90,200944,-0.08518994464149311
91,200945,-0.06541036221954205
92,200946,-0.04741529800609178
93,200947,-0.051231368567244896
94,200948,-0.08033047600225715
95,200949,-0.03960500548073858
96,200950,-0.0626741930738811
97,200951,-0.09013100781115413
98,201001,-0.0635015900188065
99,201002,-0.06512439740346301
100,201003,-0.06083476968923915
101,201004,-0.06879245202531609
102,201005,-0.06697505413410197
103,201006,-0.051907756116043334
104,201008,-0.042217144087045924
105,201009,-0.04307392611918394
106,201010,-0.05576630484605128
107,201011,-0.1093826334486151
108,201012,-0.03439011143159819
109,201013,-0.0867018249875815
110,201014,-0.06752140931641881
111,201015,-0.0738449658190682
112,201016,-0.06183699986620216
113,201017,-0.08321307299289712
114,201018,-0.08042379422689756
115,201019,-0.07802810611865425
116,201020,-0.06266276837054104
117,201021,-0.08368774265308732
118,201022,-0.055347364219492524
119,201023,-0.07640194993325952
120,201024,-0.10149707387985393
121,201025,-0.0413522615786007
122,201026,-0.02684943191731605
123,201027,-0.06343855152979835
124,201028,-0.06308584714241496
125,201029,-0.07638047067371825
126,201030,-0.062195637772818405
127,201031,-0.04552131077099036
128,201032,-0.059583599130041194
129,201033,-0.05813437643323668
130,201034,-0.08374588325855473
131,201035,-0.05661842243607773
132,201036,-0.05577618375251237
133,201037,-0.06593646675245197
134,201038,-0.05417127272888757
135,201039,-0.0449870289599736
136,201040,-0.029065320061141663
137,201041,-0.05001509967002551
138,201042,-0.050127667386861204
139,201043,-0.041566709154340166
140,201044,-0.041446527816751996
141,201045,-0.04589834113165649
142,201046,-0.04613774598245383
143,201047,-0.03869198578452744
144,201048,1.5378003153800312e-09
145,201049,-0.017878530107562365
146,201050,-0.04375957464878626
147,201051,-0.009017568991808242
148,201101,-0.014052651686948803
149,201102,-0.04642609698010215
150,201103,-0.03176089864303857
151,201104,-0.04317721450476261
152,201105,-0.03880779655342808
153,201106,-0.03610366111922198
154,201107,-0.01650197088204811
155,201108,-0.04985817714073647
156,201109,-0.05443510143196473
157,201110,-0.06375649574075258
158,201111,-0.060684454320862016
159,201112,-0.06055027077596338
160,201113,-0.06436562138458973
161,201114,-0.07158235704024905
162,201115,-0.06535122327845928
163,201116,-0.0732727763579565
164,201117,-0.06675440713081818
165,201118,-0.08691010054276331
166,201119,-0.0808439195563797
167,201120,-0.0727609830857529
168,201121,-0.06900963235432582
169,201122,-0.08870383679427976
170,201123,-0.057744024618020105
171,201124,-0.05270780900197255
172,201125,-0.056699442203767304
173,201126,-0.06289375248384368
174,201127,-0.05500539684765984
175,201128,-0.05801341757892201
176,201129,-0.05989791929156553
177,201130,-0.040738590526395564
178,201131,-0.05839386096247277
179,201132,-0.04907341544455665
180,201133,-0.06298448855604452
181,201134,-0.06741136765126873
182,201135,-0.052932462735818864
183,201136,-0.04525088174909097
184,201137,-0.036419301532307394
185,201138,-0.039006583118878106
186,201139,-0.05588956402181341
187,201141,-0.06198633356859952
188,201142,-0.07561677094491295
189,201143,-0.09731528776104509
190,201144,-0.07733919782475396
191,201145,-0.07712450312611266
192,201146,-0.08461486455106988
193,201147,-0.07915403246605238
194,201148,-0.023690354091392384
195,201149,-0.0643086819755391
196,201150,-0.03700562719305942
197,201151,-0.056655368080192496
198,201152,-0.04436147751862843
199,201201,-0.030468058214947743
200,201202,-0.04539827912543293
201,201203,-0.0771916262694045
202,201205,-0.06934140007295486
203,201206,-0.05588423585423131
204,201207,-0.049010058768685714
205,201208,-0.04111052773439013
206,201209,-0.0585472559411327
207,201210,-0.05036772243539984
208,201211,-0.04710369674581608
209,201212,-0.05303603142543081
210,201213,-0.0314827571449916
211,201214,-0.044543204120036574
212,201215,-0.03717418898595295
213,201216,-0.05592050288073978
214,201217,-0.05938335996919562
215,201218,-0.03858120302977412
216,201219,-0.02854606976473083
217,201220,-0.0194774887218273
218,201221,-0.04836436440274064
219,201222,-0.024518266629186814
220,201223,-0.039447421262042905
221,201224,-0.030859112092917605
222,201225,-0.03295963740675258
223,201226,-0.01578548382562882
224,201227,-0.021112262514960935
225,201228,-0.03337793646530896
226,201229,-0.029950054303005944
227,201230,-0.028028949345748993
228,201231,-0.019815727487129425
229,201232,-0.010407303002648293
230,201233,-0.023640840897329415
231,201234,-0.030135325441053955
