,Date,CoVaR
0,200803,1.0354907771215021e-09
1,200804,-3.0262172233601093e-09
2,200805,0.0034950547059749326
3,200806,-0.05429618212809344
4,200807,-0.02906858206001549
5,200808,-0.0073047064196004215
6,200809,-0.028183300819314888
7,200810,-0.015154103739815038
8,200811,-0.003899426043537714
9,200812,-0.04586982559680923
10,200813,-0.11250536286218918
11,200814,0.011958110262863487
12,200815,-0.0749541540653382
13,200816,-0.023974417112937546
14,200817,-0.20749634003013417
15,200818,-0.08234380253601394
16,200819,-0.04980271622610193
17,200820,-0.055579967059732616
18,200821,-0.06498523174390469
19,200822,-0.046661619590195796
20,200823,-0.04288083666383277
21,200824,4.395789058052741e-09
22,200825,-0.03651234188901181
23,200826,-0.07827720635168348
24,200827,-0.07577107129188022
25,200828,-0.11605419482649379
26,200829,-0.017113790085606304
27,200830,-0.13027366596485657
28,200831,-0.06543249153436315
29,200832,-1.355287396251734e-10
30,200833,-0.05403766244649891
31,200834,-0.03880630008349165
32,200835,-0.09324277191257403
33,200836,-0.02463739668859375
34,200837,-0.022028647508921428
35,200838,-0.22587890287378493
36,200840,-0.11060386767723503
37,200841,-0.024332216704155463
38,200842,-0.09659718227068793
39,200843,-0.13860112811034814
40,200844,-0.05902096126782858
41,200845,-0.071372466078152
42,200846,-0.07672343656610088
43,200847,-0.1069848022340941
44,200848,-0.0032504176991673558
45,200849,7.979842120200078e-10
46,200850,-0.040577584015530146
47,200851,-0.020568197344086575
48,200901,-0.035322356130117576
49,200902,-0.06250072797165361
50,200903,-0.04203917930020456
51,200905,-0.046027572528815605
52,200906,-0.09341058284637424
53,200907,-0.09384105077311794
54,200908,-0.025695837041195168
55,200909,-0.06251247281853171
56,200910,-0.07662925323025838
57,200911,-0.05188454001696096
58,200912,-0.10042429285797527
59,200913,-0.072675573936011
60,200914,-0.09264439791941308
61,200915,-0.06882672079911807
62,200916,-0.054849858779820786
63,200917,-0.058542788804171755
64,200918,-0.07698576067775964
65,200919,-0.10049003020532075
66,200920,-0.05271567094359309
67,200921,-0.04319430150252639
68,200922,-0.06159367618367369
69,200923,-0.0659496200638042
70,200924,-0.04329018666889404
71,200925,-0.08601755877263852
72,200926,-0.061264522034647204
73,200927,-0.10429527764332083
74,200928,-0.08765787618730468
75,200929,-0.09712673275992215
76,200930,-0.028890647022703157
77,200931,-0.07586844559917486
78,200932,-0.07088580341602099
79,200933,-0.03919726705876096
80,200934,-0.08986913533074994
81,200935,-0.054061405390410947
82,200936,-0.04272710432088187
83,200937,-0.03792291250510485
84,200938,-0.06400502597334744
85,200939,-0.03574068224362802
86,200940,-0.06241002334564987
87,200941,-0.035529289719378646
88,200942,-0.029639974343708988
89,200943,-0.04176536380123272
90,200944,-0.08289557487845643
91,200945,-0.060725517089593645
92,200946,-0.056511668250583784
93,200947,-0.06978216408127311
94,200948,-0.08366165793795381
95,200949,-0.057050945412671625
96,200950,-0.06182986573999815
97,200951,-0.09050829629252123
98,201001,-0.0769596989698595
99,201002,-0.07080082353884096
100,201003,-0.07221313131833465
101,201004,-0.0710883720300822
102,201005,-0.06716714609133753
103,201006,-0.07260288590020492
104,201008,-0.06074586626459782
105,201009,-0.05431565522670059
106,201010,-0.06252660870915898
107,201011,-0.08429696300390761
108,201012,-0.04168236780142135
109,201013,-0.07820760890024717
110,201014,-0.06107682197876579
111,201015,-0.07555730610472165
112,201016,-0.06290577710913188
113,201017,-0.08018538196670105
114,201018,-0.07573203947002898
115,201019,-0.07721338797592638
116,201020,-0.06455296525415788
117,201021,-0.0788928670790815
118,201022,-0.055515007031317114
119,201023,-0.06508319576431881
120,201024,-0.08095326736052681
121,201025,-0.05218657213987317
122,201026,-0.04403678463875869
123,201027,-0.06139517224688077
124,201028,-0.03296569811865633
125,201029,-0.042354781119014216
126,201030,-0.05398035917543176
127,201031,-0.044937119673279374
128,201032,-0.05195618510678262
129,201033,-0.05510418085342855
130,201034,-0.06374893861461246
131,201035,-0.05791244673913555
132,201036,-0.05115574937445798
133,201037,-0.05200296042639159
134,201038,-0.050229132479815336
135,201039,-0.04377141822865631
136,201040,-0.037170186775077864
137,201041,-0.04481441341268546
138,201042,-0.03916797486545805
139,201043,-0.015146665336108416
140,201044,-0.0300776059469978
141,201045,-0.02643676012034353
142,201046,-0.04615253332833091
143,201047,-0.06381311159316609
144,201048,-0.053303473518756694
145,201049,-0.047786995366689754
146,201050,-0.045905372985012016
147,201051,-0.05508860772793235
148,201101,-0.046111438513619915
149,201102,-0.006159362329821382
150,201103,-0.020630974434345088
151,201104,-0.0595105938754586
152,201105,-0.05348226546037776
153,201106,-0.04133235161150214
154,201107,-0.020586642390064868
155,201108,-0.05014560232077606
156,201109,-0.058875760894308085
157,201110,-0.04510648913990147
158,201111,-0.06434253596002987
159,201112,-0.06963204525945425
160,201113,-0.05259293571056959
161,201114,-0.06218315479812058
162,201115,-0.06859448916411734
163,201116,-0.060743896942545166
164,201117,-0.05021907914243161
165,201118,-0.06095836036952305
166,201119,-0.059656863998826075
167,201120,-0.04343185766430446
168,201121,-0.04797261298114003
169,201122,-0.05946393301471979
170,201123,-0.0423411474130239
171,201124,-0.03302379253332063
172,201125,0.002896059139945547
173,201126,-0.06343780665150413
174,201127,-0.04790603212354221
175,201128,-0.04596953935213504
176,201129,-0.040656788716876995
177,201130,-0.007985650379001308
178,201131,-0.043915470607851656
179,201132,-0.04092301910330787
180,201133,-0.07121509917029097
181,201134,-0.040191121187978504
182,201135,-0.04244914983460655
183,201136,-0.026084782090442408
184,201137,-0.04474084084000444
185,201138,-0.02886355255228754
186,201139,-0.06916010597451105
187,201141,-0.06363525978521671
188,201142,-0.08107018719493822
189,201143,-0.058239929787076955
190,201144,-0.05485020118027498
191,201145,-0.06359210503010221
192,201146,-0.06736041172506681
193,201147,-0.04167552920242208
194,201148,-0.041847481602473265
195,201149,-0.05968221368283871
196,201150,-0.03294183222927826
197,201151,-0.05569927828133842
198,201152,-0.041422246790204724
199,201201,-0.05143093024975936
200,201202,-0.053243243300481025
201,201203,-0.06046577925344331
202,201205,-0.06685722107094576
203,201206,-0.04576747698552091
204,201207,-0.038645873088285494
205,201208,-0.039162983112598505
206,201209,-0.05247689078447124
207,201210,-0.042114747780387284
208,201211,-0.046718641791291954
209,201212,-0.05106040279035768
210,201213,-0.03777450323278724
211,201214,-0.04207145887284647
212,201215,-0.03787395517880584
213,201216,-0.04975283294200522
214,201217,-0.026305669314889802
215,201218,-0.020586259502906788
216,201219,-0.031594222730371144
217,201220,-0.027231280468351098
218,201221,-0.019678428734683954
219,201222,-0.022109574995722296
220,201223,-0.032994413928352985
221,201224,-0.011123486221685635
222,201225,-0.019481501935942634
223,201226,-0.032031370899773114
224,201227,-0.029379234570703572
225,201228,-0.020248566754560715
226,201229,-0.024338664864866185
227,201230,-0.02712225605833033
228,201231,-0.017490323649947626
229,201232,-0.03534624169140465
230,201233,-0.02686475546066731
231,201234,-0.021833607258930864
232,201235,-0.021279933152052583
233,201236,-0.021750937087257984
234,201237,-0.04418332953965336
235,201238,-0.02590084990665632
236,201239,-0.04136721586148395
237,201241,-0.04094936886646923
238,201242,-0.031526843032529187
239,201243,-0.0226805210877362
240,201244,-0.033717585305621224
241,201245,-0.03446886777537524
242,201246,-0.028255908887823006
243,201247,-0.031534055725365474
244,201248,-0.023392005385218392
245,201249,-0.0274062485669449
246,201250,-0.053717929414157664
247,201251,-0.043585655808672324
248,201252,-0.02877955625064603
249,201300,-0.03125868904206091
250,201301,-0.028980476338658752
251,201302,-0.02713730931761138
252,201303,-0.03555675652609915
253,201304,-0.025549413501386505
254,201305,-0.04572525098440444
255,201307,-0.035509001897075704
256,201308,-0.03271642669300427
257,201309,-0.03666718915954313
258,201310,-0.03921383021828485
259,201311,-0.033261180352003386
260,201312,-0.04918398845913855
261,201313,-0.03770213896667819
262,201314,-0.030895034955284804
263,201315,-0.032201535177484204
264,201316,-0.04276583188506788
265,201317,-0.027179886636039863
266,201318,-0.03882685064066447
267,201319,-0.03434757794128707
268,201320,-0.04014134842991263
269,201321,-0.030538126584185483
270,201322,-0.025779027716797725
271,201323,-0.0249259679787651
272,201324,-0.035911530214249095
273,201325,-0.03797714139858694
274,201326,-0.07346172602565441
275,201327,-0.051832625032179586
276,201328,-0.061988175398542116
277,201329,-0.03696529774242409
278,201330,-0.05833741105264564
279,201331,-0.052227795502541974
280,201332,-0.03756422049094016
281,201333,-0.06551412380267364
282,201334,-0.04476181982951073
283,201335,-0.0492318888612192
284,201336,-0.05149268328524371
285,201337,-0.05860763294338601
286,201338,-0.04585217344003044
287,201339,-0.043830639990868774
288,201340,-0.03214695119556184
289,201341,-0.047438447079779344
290,201342,-0.03133254360053813
291,201343,-0.03935000955677958
292,201344,-0.05561919647435769
293,201345,-0.02604117594880842
294,201346,-0.03128019382956572
