,Date,CoVaR
0,200803,-1.1209581605262599e-10
1,200804,6.864891175974123e-10
2,200805,0.0029602417959363396
3,200806,-0.08676063288282522
4,200807,-0.018321797142791564
5,200808,-0.107163524164187
6,200809,-0.05337705935409362
7,200810,-0.015229787306631036
8,200811,-0.043898186881558436
9,200812,-0.061854872105918765
10,200813,-0.14862577986066264
11,200814,-0.03737956839258889
12,200815,-0.0354219031482422
13,200816,-0.03398143050520155
14,200817,-0.003761581137082585
15,200818,-0.0417882203202032
16,200819,-0.055796422769186685
17,200820,-0.06169688215531762
18,200821,-0.06717717680579914
19,200822,-0.06398560986920844
20,200823,-0.09063152311841279
21,200824,-0.0798932384204643
22,200825,-0.026006515464919184
23,200826,-0.05949206648656266
24,200827,-0.08853942797095711
25,200828,-0.015934024838754397
26,200829,-0.03518308081401359
27,200830,-0.10087277191176042
28,200831,-6.455688292250321e-09
29,200832,-0.04033364614078268
30,200833,-0.07590454765790289
31,200834,-0.0770443320132732
32,200835,-0.08232214726170402
33,200836,-0.07850001093611292
34,200837,-0.015016431639083653
35,200838,-0.09826779510039411
36,200840,-0.06934857284478688
37,200841,-0.12253569415228632
38,200842,-0.057645634355453924
39,200843,-0.0661880891612151
40,200844,-0.08127022090959726
41,200845,-0.0061911667068733625
42,200846,-0.011071116617897095
43,200847,-0.05014095445373888
44,200848,-0.010073029473777473
45,200849,-0.04541390082580591
46,200850,-0.04728389012681826
47,200851,-0.0677513369719062
48,200901,-0.07914680045553618
49,200902,-0.10959997159579235
50,200903,-0.08633673218384424
51,200905,-0.11256266803205951
52,200906,-0.06701410158745097
53,200907,-0.08326486804067904
54,200908,-0.028517711355071772
55,200909,-0.06349013314844491
56,200910,-0.028375795340245993
57,200911,-0.08569468054118852
58,200912,-0.08363148369007317
59,200913,-0.06587036273176601
60,200914,-0.08268688910909189
61,200915,-0.0709416029384021
62,200916,-0.07979322950681969
63,200917,-0.07639854363802567
64,200918,-0.07916799527100171
65,200919,-0.0796631742250799
66,200920,-0.07830950953659502
67,200921,-0.06982010629457919
68,200922,-0.08716275082636978
69,200923,-0.05608888503067645
70,200924,-0.08120195054059362
71,200925,-0.07185885824661077
72,200926,-0.08226572880824562
73,200927,-0.08243962954341537
74,200928,-0.12359663626902423
75,200929,-0.10592095818483305
76,200930,-0.05324333305385757
77,200931,-0.10463381076672117
78,200932,-0.07298332195350407
79,200933,-0.05258446912498332
80,200934,-0.15750487786105896
81,200935,-0.09562923326259204
82,200936,-0.06640737494715691
83,200937,-0.05556502128629962
84,200938,-0.07548423348241622
85,200939,-0.07494196794456073
86,200940,-0.06866151719801933
87,200941,-0.06236562993135644
88,200942,-0.031858044295582935
89,200943,-0.05473024916816635
90,200944,-0.09276190557829223
91,200945,-0.06424530517243872
92,200946,-0.06818868639946749
93,200947,-0.06161250317746023
94,200948,-0.08694175267317913
95,200949,-0.07239920185506062
96,200950,-0.056970182412436586
97,200951,-0.11140765133679728
98,201001,-0.05074287899754944
99,201002,-0.059113846912543885
100,201003,-0.056456479067864676
101,201004,-0.06960744817065564
102,201005,-0.07908620649008517
103,201006,-0.06723861824444036
104,201008,-0.063931041987925
105,201009,-0.06424621783322135
106,201010,-0.06805213786304715
107,201011,-0.06414453042890633
108,201012,-0.05605334132552942
109,201013,-0.07191950065069683
110,201014,-0.05107537748440299
111,201015,-0.07429631528721464
112,201016,-0.09434588635140438
113,201017,-0.10065391765544794
114,201018,-0.06581373358304651
115,201019,-0.0878761109534141
